row_id,name,startdate,location,about,page_url
506,1833,112,0,33,3546
507,3600,60,0,18,1793
508,614,68,0,61,1822
509,4476,114,0,37,3966
510,1414,90,0,10,3084
511,2854,13,0,29,496
512,691,21,0,66,588
513,5035,33,0,15,1092
514,3222,13,0,29,1557
515,3521,100,0,6,3375
516,2521,80,0,26,2651
517,974,128,0,48,5314
518,598,22,0,56,611
519,2548,13,0,29,795
520,2528,102,0,70,3441
521,717,61,0,57,1753
522,3921,71,0,2,2377
523,725,70,0,52,2535
524,2607,113,0,11,3662
525,4690,125,0,38,5026
526,4135,13,0,29,490
527,3760,80,0,26,2629
528,1590,125,0,38,5219
529,3865,128,0,48,5245
530,2183,13,0,29,800
531,2385,126,0,59,4863
532,2150,110,0,18,3538
533,2422,116,0,38,3737
534,4789,80,0,26,2636
535,3565,109,0,26,3481
536,1756,109,0,26,3528
537,98,51,0,32,1485
538,3014,103,0,46,3311
539,2089,118,0,0,4057
540,3337,28,0,35,1002
541,1949,66,0,37,2438
542,3711,89,0,28,2932
543,1083,68,0,61,1893
544,3626,13,0,29,371
545,4290,100,0,6,3381
546,760,0,0,55,5351
547,2448,26,0,7,793
548,456,105,0,62,3281
549,1525,18,0,23,513
550,764,21,0,66,595
551,1575,113,0,11,3665
552,193,17,0,35,545
