row_id,name,startdate,enddate,location,description,image,performer,page_url
3534,1961,1696,1735,0,732,480,1,907
3535,1884,1007,1036,0,4886,1033,0,2160
3536,757,281,281,0,361,246,0,1009
3537,534,1311,1379,0,92,1484,0,617
3538,391,138,138,0,2541,393,0,54
3539,1485,954,982,0,229,1683,0,2129
3540,2737,772,791,0,1559,2361,0,1637
3541,3000,625,641,0,1035,1111,0,1307
3542,4448,772,791,0,1469,2361,0,1623
3543,1285,959,989,0,443,1935,0,3833
3544,1354,1694,1736,0,732,1708,1,4204
3545,2562,819,840,0,2665,2361,0,3537
3546,2764,1671,1713,0,1146,641,0,3776
3547,1309,916,938,0,1088,247,0,2112
3548,3558,1655,1700,0,3644,656,0,4188
3549,1452,936,962,0,1119,1328,0,3848
3550,1790,401,400,0,1795,1726,0,4292
3551,1414,1210,1245,0,967,496,0,5231
3552,3890,772,791,0,4985,2361,0,3050
3553,4446,772,791,0,1464,2361,0,3192
3554,183,125,125,0,1200,1093,0,970
3555,2548,1597,1636,0,210,1706,0,2169
3556,3209,819,840,0,3167,2361,0,4996
3557,2868,348,348,0,2525,2001,0,2542
3558,2748,772,791,0,2564,2361,0,3252
3559,2959,644,664,0,2630,2361,0,1351
3560,853,1389,1427,0,1288,1195,0,739
3561,4749,414,419,0,1957,1950,0,4333
3562,4077,772,791,0,3482,2361,0,1604
3563,125,1419,1456,0,3057,702,0,2295
3564,1157,50,50,0,840,763,0,2467
3565,3560,819,840,0,3653,2361,0,3646
3566,955,453,463,0,4801,882,0,1141
3567,3261,509,523,0,3140,223,0,4344
3568,4514,470,484,0,82,825,0,1082
3569,3462,819,840,0,3512,2361,0,1191
3570,1323,883,907,0,1340,1861,0,337
3571,174,526,543,0,853,1416,0,2604
3572,1292,1511,1554,0,907,2102,0,4107
3573,1123,238,238,0,1224,2109,0,100
3574,1381,1692,1730,0,114,398,0,793
3575,159,1374,1413,0,2854,1837,0,677
3576,3374,820,841,0,2170,2361,0,3698
3577,4838,819,840,0,1860,2361,0,1927
3578,4554,605,625,0,2680,1274,0,4455
3579,4147,772,791,0,3098,2361,0,3156
3580,3915,1270,1307,0,1170,363,0,466
3581,158,1749,1795,0,732,1625,1,4213
3582,2572,530,547,0,800,1052,0,2706
3583,63,819,840,0,3010,2361,0,3430
3584,2883,1249,1284,0,268,1449,0,465
3585,1125,1278,1311,0,1066,2315,0,2277
3586,3433,935,964,0,5014,1250,0,396
3587,750,598,615,0,3634,1514,0,2771
3588,4614,627,644,0,1479,571,0,4519
3589,3187,820,841,0,2259,2361,0,2064
3590,2557,819,840,0,3278,2361,0,3481
3591,4744,997,1021,0,4854,1569,0,399
3592,2761,1661,1702,0,94,1370,0,4193
3593,4054,771,789,0,3808,2361,0,1453
3594,603,1113,1144,0,1334,503,0,2218
3595,621,1199,1230,0,551,240,0,2286
3596,3633,354,354,0,4826,1364,0,4264
3597,2087,530,542,0,695,980,0,2670
