row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
408,15,110,103,0,14,0,0,0,0,843
409,4,126,123,0,28,0,0,0,0,843
410,14,131,127,0,18,0,0,0,0,843
411,81,168,167,0,34,0,0,0,0,409
412,53,93,88,0,24,0,0,0,0,673
413,20,96,91,0,20,0,0,0,0,673
414,15,110,103,0,14,0,0,0,0,673
415,18,120,122,0,88,0,0,0,0,673
416,4,126,123,0,28,0,0,0,0,673
417,14,131,127,0,18,0,0,0,0,673
418,53,93,88,0,24,0,0,0,0,854
419,20,96,91,0,20,0,0,0,0,854
420,15,110,103,0,14,0,0,0,0,854
421,18,120,122,0,88,0,0,0,0,854
422,18,120,122,0,88,0,0,0,0,854
423,4,126,123,0,28,0,0,0,0,854
424,14,131,127,0,18,0,0,0,0,854
425,53,93,88,0,24,0,0,0,0,169
426,20,96,91,0,20,0,0,0,0,169
427,15,110,103,0,14,0,0,0,0,169
428,18,120,122,0,88,0,0,0,0,169
429,18,120,122,0,88,0,0,0,0,169
430,4,126,123,0,28,0,0,0,0,169
431,14,131,127,0,18,0,0,0,0,169
432,53,93,88,0,24,0,0,0,0,1064
433,20,96,91,0,20,0,0,0,0,1064
434,15,110,103,0,14,0,0,0,0,1064
435,18,120,122,0,88,0,0,0,0,1064
436,18,120,122,0,88,0,0,0,0,1064
437,4,126,123,0,28,0,0,0,0,1064
438,14,131,127,0,18,0,0,0,0,1064
439,53,93,88,0,24,0,0,0,0,240
440,20,96,91,0,20,0,0,0,0,240
441,15,110,103,0,14,0,0,0,0,240
442,18,120,122,0,88,0,0,0,0,240
443,18,120,122,0,88,0,0,0,0,240
444,4,126,123,0,28,0,0,0,0,240
445,14,131,127,0,18,0,0,0,0,240
446,53,93,88,0,24,0,0,0,0,1027
447,20,96,91,0,20,0,0,0,0,1027
448,15,110,103,0,14,0,0,0,0,1027
449,18,120,122,0,88,0,0,0,0,1027
450,18,120,122,0,88,0,0,0,0,1027
451,4,126,123,0,28,0,0,0,0,1027
452,14,131,127,0,18,0,0,0,0,1027
453,18,120,122,0,88,0,0,0,0,52
454,18,120,122,0,88,0,0,0,0,52
455,4,126,123,0,28,0,0,0,0,52
456,14,131,127,0,18,0,0,0,0,52
457,41,144,142,0,99,0,1,0,0,340
458,18,120,122,0,88,0,0,0,0,845
459,18,120,122,0,88,0,0,0,0,845
460,4,126,123,0,28,0,0,0,0,845
