row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,url,mainentityofpage,page_url
6071,8446,1669,1727,0,984,0,0,0,0,0,13245
6072,131,544,534,0,3573,0,0,1,0,0,14246
6073,8474,535,528,0,4136,0,0,0,0,0,5137
6074,9363,12182,12660,0,3421,0,0,0,0,0,978
6075,570,8582,8944,0,925,0,0,0,0,0,1288
6076,1598,11659,12144,0,2589,0,0,0,0,0,1852
6077,3346,9369,9757,0,3177,0,0,1,0,0,2468
6078,5429,8410,8752,0,4615,0,0,0,0,0,2863
6079,8145,10811,11312,0,3293,0,0,1,0,0,3821
6080,1617,1003,1031,0,5960,0,0,1,0,0,7254
6081,2133,3466,3649,0,5960,0,0,1,0,0,7694
6082,564,8758,9127,0,1795,0,0,0,0,0,1283
6083,6819,6953,7249,1,5469,0,0,1,0,0,15376
6084,6790,11595,12087,0,2517,0,0,0,0,0,16583
6085,6561,10524,11005,0,5111,0,0,0,0,0,3269
6086,8114,4118,4344,1,5960,0,0,1,0,0,11292
6087,5285,11183,11695,0,1831,0,0,1,0,0,2823
6088,9224,10597,11082,0,4550,0,0,0,0,0,4308
6089,830,7665,7990,0,4921,0,0,1,0,0,1380
6090,4475,4158,4381,0,5960,0,0,1,0,0,9446
6091,10463,11586,12078,0,5128,0,0,1,0,0,3363
6092,9875,9163,9540,0,5164,0,0,0,0,0,4560
6093,10393,11553,12046,0,5901,0,0,0,0,0,4752
6094,8763,7571,7883,1,2153,0,0,1,0,0,11612
6095,10291,1990,2055,1,5960,0,0,1,0,0,12309
6096,870,11637,12127,0,2897,0,0,1,0,0,14416
6097,785,5424,5676,1,840,0,0,1,0,0,6868
6098,1116,863,870,0,5960,0,0,1,0,0,7019
6099,1312,2141,2231,0,3737,0,0,1,0,0,7132
6100,4803,3543,3732,0,5960,0,0,1,0,0,9877
6101,1095,2697,2845,0,4020,0,0,0,0,0,12500
6102,287,1381,1420,0,3967,0,0,0,0,0,12828
6103,1449,10003,10445,0,686,0,0,1,0,0,14760
6104,3057,4614,4855,0,1849,0,0,1,0,0,15846
6105,1817,12583,13073,1,1250,0,0,1,0,0,1902
6106,3092,7913,8259,1,701,0,0,1,0,0,2294
6107,2717,852,855,0,5960,0,0,1,0,0,8013
6108,3687,6037,6314,1,5960,0,0,1,0,0,14011
6109,9468,9998,10440,0,2151,0,0,1,0,0,15182
6110,8953,8966,9357,1,5960,0,0,1,0,0,15632
6111,5877,11568,12059,0,4618,0,0,0,0,0,3019
6112,4036,4145,4368,0,5960,0,0,1,0,0,9337
6113,5873,9687,10098,1,5960,0,0,0,0,0,10226
6114,6272,2052,2126,0,3797,0,0,1,0,0,10318
6115,6620,866,872,0,5960,0,0,1,0,0,10475
6116,7696,9456,9849,1,5960,0,0,0,0,0,11150
6117,10413,7773,8095,0,3440,0,0,1,0,0,12362
6118,2780,6829,7119,1,5960,0,0,1,0,0,8138
6119,9546,3886,4109,0,5960,0,0,1,0,0,11924
6120,6255,7860,8183,1,5433,0,0,1,0,0,6686
6121,3413,5776,6045,1,5395,0,0,1,0,0,13627
6122,9468,10688,11178,0,2151,0,0,1,0,0,15204
6123,1535,2814,2962,0,595,0,0,1,0,0,15711
6124,5536,7842,8163,0,2375,0,0,0,0,0,17265
6125,7881,8467,8815,1,5180,0,0,1,0,0,6710
6126,240,9268,9648,0,3294,0,0,0,0,0,13087
6127,421,11112,11629,0,4421,0,0,1,0,0,1166
6128,1874,7343,7646,0,12,0,0,0,0,0,1934
6129,9194,12539,13028,0,5691,0,0,1,0,0,4285
6130,9619,11950,12426,0,3057,0,0,0,0,0,4442
6131,984,12311,12796,0,1040,0,0,1,0,0,1723
6132,3379,12048,12519,0,1901,0,0,1,0,0,6601
6133,3639,990,1014,0,5960,0,0,1,0,0,8362
6134,7708,3893,4113,1,478,0,0,1,0,0,11158
6135,8001,6071,6352,0,2630,0,0,1,0,0,13736
6136,456,9059,9444,0,1701,0,0,0,0,0,17
6137,898,8210,8547,0,4944,0,0,1,0,0,1422
6138,1944,5720,5985,1,5960,0,0,1,0,0,7815
6139,5663,9576,9984,1,5960,0,0,0,0,0,10080
6140,2726,6603,6888,0,3465,0,0,1,0,0,15298
6141,1448,9368,9756,0,687,0,0,1,0,0,14810
6142,2808,11438,11928,0,1684,0,0,0,0,0,234
6143,4383,3559,3748,0,5960,0,0,1,0,0,9308
6144,9363,10437,10912,0,3421,0,0,0,0,0,973
6145,9742,32,32,0,2200,0,0,1,0,0,1013
6146,3559,6806,7096,1,5790,0,0,1,0,0,6801
6147,3964,2999,3161,0,5960,0,0,1,0,0,8907
6148,5914,2809,2956,0,4794,0,0,0,0,0,14064
6149,206,7115,7413,0,5363,0,0,0,0,0,13030
6150,2042,5429,5684,0,5960,0,0,1,0,0,7571
6151,7105,9494,9886,1,5960,0,0,0,0,0,10806
6152,972,6227,6509,0,5190,0,0,0,0,0,17598
6153,6075,479,474,0,5511,0,0,0,0,0,562
6154,2075,3588,3781,1,5960,0,0,1,0,0,7621
6155,3816,2972,3134,0,5960,0,0,1,0,0,8774
6156,6978,10326,10789,1,5960,0,0,0,0,0,10712
6157,5767,1621,1683,1,2796,0,0,1,0,0,16288
