row_id,name,startdate,location,page_url
10945,348,1224,0,228
10946,4606,833,0,4624
10947,7287,6653,0,7198
10948,8374,7974,0,8306
10949,9465,5690,0,9430
10950,5991,2869,0,5996
10951,9689,78,0,13008
10952,4005,1364,0,3907
10953,92,358,0,301
10954,4011,4990,0,3936
10955,5280,4770,0,5240
10956,9307,8846,0,9304
10957,9387,4167,0,9592
10958,1947,7794,0,2324
10959,1258,3605,0,1245
10960,5455,1148,0,5446
10961,5682,2495,0,5721
10962,11410,10638,0,11649
10963,7685,11896,0,7727
10964,7248,8976,0,7552
10965,8182,4888,0,8137
10966,8479,4279,0,8436
10967,9854,3768,0,12906
10968,9916,8601,0,9900
10969,11971,7437,0,12266
10970,3526,4162,0,3231
10971,11286,8134,0,11225
10972,3224,3693,0,3497
10973,8862,8900,0,8892
10974,12173,8429,0,12093
10975,2573,338,0,2563
10976,7172,1306,0,7293
10977,9089,4476,0,9336
10978,3985,11050,0,3911
10979,5519,11964,0,5563
10980,236,2037,0,88
10981,5462,11076,0,5464
10982,7352,12601,0,7353
10983,10359,12468,0,10242
10984,2048,12346,0,12748
10985,6705,5390,0,6780
10986,7475,221,0,12810
10987,2116,415,0,2032
10988,3216,6264,0,3463
10989,6421,1772,0,6425
10990,1023,7155,0,1027
10991,5261,5293,0,5200
10992,6423,2969,0,6446
10993,10844,5324,0,10801
10994,1149,5979,0,1123
10995,1691,1744,0,1725
10996,10943,6345,0,10945
10997,326,5455,0,255
10998,1890,12342,0,1919
10999,3128,2763,0,3148
11000,5905,11949,0,5913
11001,7536,10148,0,7522
11002,5312,1858,0,5280
11003,8299,2507,0,8264
11004,8907,10110,0,8940
11005,7167,8465,0,7266
11006,11652,8944,0,11611
11007,11447,11009,0,11395
11008,3949,1291,0,3888
11009,10619,7511,0,10667
11010,12478,10067,0,12422
11011,713,9823,0,658
11012,1550,447,0,1585
11013,7362,1740,0,7369
11014,8780,11687,0,8653
11015,10136,11807,0,10266
11016,10846,4753,0,10800
11017,792,328,0,781
11018,1946,6311,0,2321
11019,2998,11633,0,3018
11020,12162,6511,0,12088
11021,2971,3952,0,3002
11022,12205,7925,0,12135
11023,1724,1945,0,1768
11024,3593,10399,0,3266
11025,3232,958,0,3500
11026,3271,3173,0,3531
11027,9226,10717,0,9171
11028,1134,2133,0,1099
11029,7727,5541,0,7786
11030,6177,4682,0,6114
11031,4341,3627,0,4281
11032,3367,10976,0,3783
