row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
1622,326,4450,5549,0,7972,0,0,0,9998,28,7972,0,3758
1623,5054,563,617,0,3557,0,0,0,3833,37,3557,0,1605
1624,1179,5372,6931,0,3646,0,0,0,4135,46,3646,0,4864
1625,564,9454,12479,0,6482,0,0,0,8200,17,6482,0,10250
1626,5323,2546,2984,0,7670,0,0,0,7844,82,7670,0,5242
1627,12527,8402,10837,0,11436,0,0,0,1026,71,11436,0,9599
1628,8015,3204,3804,0,9511,0,0,0,8174,33,9511,0,3060
1629,10110,8819,11394,0,7005,0,0,0,11138,52,7005,0,8261
1630,9340,78,80,0,4305,0,0,0,9552,22,4305,0,11085
1631,9480,4179,5075,0,1997,0,0,0,6077,98,1997,0,417
1632,12311,1714,1925,0,2164,0,0,0,11253,42,2164,0,4347
1633,9604,5561,7190,0,9967,0,0,0,4698,13,9967,0,250
1634,6832,8647,11138,0,6823,0,0,0,6351,53,6823,0,9286
1635,8143,7325,9489,0,7278,0,0,0,5024,50,7278,0,7841
1636,5821,2487,2912,0,7508,0,0,0,10906,39,7508,0,11583
1637,2718,4673,5988,0,2193,0,0,0,6675,30,2193,0,7652
1638,5012,7613,9826,0,9713,0,0,0,7921,55,9713,0,8766
1639,8682,9735,13038,0,3051,0,0,0,11014,16,3051,0,9488
1640,8065,6526,8453,0,7469,0,0,0,6727,47,7469,0,11652
1641,4158,3476,4138,0,3622,0,0,0,291,24,3622,0,6958
1642,9193,6435,8343,0,2831,0,0,0,817,31,2831,0,8675
1643,4804,6832,8862,0,8070,0,0,0,3199,12,8070,0,3532
1644,10118,8448,10899,0,2371,0,0,0,4562,17,2371,0,9004
1645,8553,1498,1668,0,7344,0,0,0,2225,60,7344,0,5392
1646,8493,1977,2247,0,11223,0,0,0,7606,20,11223,0,6417
1647,5339,8091,10456,0,10388,0,0,0,3049,47,10388,0,13370
1648,8639,9714,12988,0,1198,0,0,0,10907,17,1198,0,8137
1649,10699,9934,13370,0,10110,0,0,0,10387,71,10110,0,10470
1650,7823,4059,4896,0,6057,0,0,0,7632,118,6057,0,2252
1651,5512,2494,2923,0,2996,0,0,0,8749,60,2996,0,5238
1652,8486,9818,13212,0,5558,0,0,0,11292,24,5558,0,8707
1653,3485,6541,8476,0,8799,0,0,0,5187,43,8799,0,7447
1654,11165,8760,11299,0,9771,0,0,0,12,54,9771,0,9472
1655,5099,3213,3813,0,10815,0,0,0,7274,60,10815,0,12375
1656,1174,677,749,0,3394,0,0,0,7385,39,3394,0,1361
1657,6431,4140,5013,0,10971,0,0,0,11176,35,10971,0,3769
1658,10511,8265,10680,0,8123,0,0,0,719,11,8123,0,3569
1659,2791,3564,4249,0,747,0,0,0,992,24,747,0,7426
1660,11024,8394,10825,0,11503,0,0,0,8561,93,11503,0,9693
1661,9802,5300,6832,0,1787,0,0,0,9605,54,1787,0,10818
1662,131,6409,8308,0,165,0,0,0,2521,49,165,0,10873
1663,7315,4610,5866,0,5223,0,0,0,6030,93,5223,0,10908
1664,12116,7811,10086,0,11815,0,0,0,3161,9,11815,0,335
1665,6765,8759,11298,0,10492,0,0,0,2864,64,10492,0,626
1666,10355,3893,4658,0,1353,0,0,0,7006,46,1353,0,7926
1667,5333,8130,10504,0,8685,0,0,0,8497,37,8685,0,4486
1668,9320,6613,8581,0,11519,0,0,0,10076,25,11519,0,5989
1669,9137,5760,7450,0,12514,0,0,0,6076,25,12514,0,12422
1670,10470,9742,13052,0,7128,0,0,0,1298,50,7128,0,4011
1671,10696,4061,4898,0,8385,0,0,0,4569,36,8385,0,4372
1672,7837,3284,3897,0,922,0,0,0,7825,25,922,0,7507
1673,1455,5875,7587,0,7971,0,0,0,1159,20,7971,0,9078
1674,4485,4135,5003,0,2558,0,0,0,2467,32,2558,0,10688
1675,5002,2068,2362,0,9698,0,0,0,10116,71,9698,0,6469
1676,7577,3833,4586,0,2190,0,0,0,1948,43,2190,0,4231
1677,7611,8236,10644,0,338,0,0,0,11197,37,338,0,10014
1678,578,3270,3877,0,9961,0,0,0,7824,53,9961,0,5743
1679,8941,3007,3574,0,2661,0,0,0,5674,60,2661,0,10754
1680,12855,5599,7234,0,12887,0,0,0,11580,60,12887,0,11326
1681,1537,5085,6559,0,8102,0,0,0,5995,54,8102,0,5057
1682,7346,7184,9318,0,9815,0,0,0,2017,45,9815,0,5330
1683,2841,3937,4720,0,12026,0,0,0,4306,45,12026,0,5744
1684,11582,5914,7641,0,10851,0,0,0,1495,49,10851,0,8152
1685,3826,9364,12311,0,961,0,0,0,7443,53,961,0,39
1686,334,4000,4818,0,5505,0,0,0,5270,40,5505,0,3728
1687,362,2882,3415,0,10762,0,0,0,1122,64,10762,0,4612
1688,124,7132,9249,0,7174,0,0,0,9234,29,7174,0,1187
1689,4739,2130,2441,0,10257,0,0,0,2375,43,10257,0,2350
1690,10724,4566,5787,0,7535,0,0,0,4067,60,7535,0,11848
1691,4392,6689,8687,0,9751,0,0,0,11308,36,9751,0,6090
