row_id,name,startdate,enddate,description,offers,page_url
550,1053,418,387,1093,1,4433
551,689,289,367,2743,1,4518
552,520,301,287,3769,1,1904
553,1253,459,427,217,0,3255
554,921,375,353,2865,1,4589
555,1069,487,449,2338,1,2527
556,792,562,514,1891,1,2650
557,270,129,133,1020,0,233
558,342,154,154,1048,1,260
559,342,154,154,4010,1,4918
560,532,519,475,1864,1,2991
561,787,451,420,3084,0,2501
562,1024,37,36,1674,1,3204
563,1118,589,534,2727,0,4211
564,1167,306,300,1343,1,152
565,21,526,485,3733,0,782
566,1262,14,12,3559,0,4137
567,136,256,245,3100,1,2918
568,1038,624,563,3170,0,4611
569,339,601,543,1080,0,259
570,336,348,328,815,0,636
571,294,211,203,1803,0,632
572,931,492,451,3501,1,1752
573,1086,326,310,3361,1,2024
574,1171,444,411,3158,1,1656
575,217,451,415,2969,1,4727
576,1064,402,370,4351,0,3604
577,483,451,415,1289,0,1150
578,1099,378,357,3229,0,3106
579,99,480,443,1442,0,3709
580,248,539,492,4729,1,3883
581,955,606,546,2624,0,43
582,126,391,363,4732,1,3726
583,799,588,531,578,0,1236
584,880,304,292,1347,1,1222
585,579,137,141,4879,0,4000
586,661,602,541,942,0,346
587,214,357,336,631,1,617
588,168,487,466,2243,0,2318
589,41,467,432,3793,0,46
590,874,279,488,3883,0,566
591,839,493,451,2569,1,1235
592,265,286,258,1703,0,4050
593,588,497,454,1006,1,343
594,976,128,133,3088,0,749
595,1100,509,469,219,1,1359
596,797,455,419,642,1,2819
597,1131,303,294,4261,0,3617
598,216,270,262,4190,0,4901
599,1258,473,439,1914,1,3139
600,162,120,123,4126,1,4722
601,623,167,284,1969,0,689
602,836,277,269,2532,0,1402
603,1202,162,163,3646,0,188
604,602,470,433,2614,1,1486
605,556,192,190,3654,0,2200
606,1296,495,457,3870,1,4854
607,829,460,419,2284,0,939
608,1189,503,463,3574,0,4739
609,1039,244,235,2265,0,1134
610,392,522,479,1395,1,3706
611,387,171,168,3331,1,922
612,1115,544,497,2428,1,2107
613,1160,106,110,1276,0,944
614,524,217,212,1687,1,1164
615,950,266,255,1899,1,2806
616,584,518,474,3613,0,1920
617,431,183,181,1510,0,1810
618,778,446,415,4459,0,3544
619,18,529,482,522,0,2305
620,697,306,290,1207,0,971
621,558,475,440,767,0,2970
622,815,502,462,2511,0,3203
623,449,451,415,2247,0,1108
624,205,355,351,2973,1,1772
625,1184,560,508,369,0,771
626,539,452,415,1702,1,1658
627,1262,14,12,3559,0,5158
628,727,424,394,664,1,1370
629,1316,635,576,4121,1,4754
630,305,474,432,805,1,4909
631,67,457,420,410,1,2843
632,792,562,514,968,1,441
633,62,126,131,486,0,609
634,856,569,514,2600,0,728
635,167,359,344,2298,0,2317
636,723,149,148,438,0,4533
637,1101,478,439,2719,1,4434
638,945,445,415,974,1,304
639,885,495,455,1239,1,1146
640,403,467,432,3439,0,1364
641,644,479,440,85,0,4516
642,913,42,63,2665,0,415
643,619,509,470,918,0,348
644,952,290,276,4392,1,3585
645,321,464,427,1578,0,4405
646,1159,572,517,1110,0,555
647,427,235,227,3425,0,1348
648,403,467,432,928,0,31
649,1266,323,310,4229,1,4982
650,177,573,519,151,0,2860
651,643,471,432,3620,0,1626
652,499,568,517,158,1,1581
653,1074,558,508,3185,1,4101
654,1215,490,455,2798,1,4355
655,1252,121,125,1726,1,4495
656,77,434,399,2693,0,2254
657,533,158,160,3560,1,1564
658,511,43,42,3424,0,824
659,1082,463,430,577,0,787
660,1289,527,488,3690,1,1873
661,1253,459,427,802,0,2199
662,840,504,463,2571,1,1667
663,45,38,41,379,0,3685
664,1253,459,427,871,0,116
665,153,364,346,1785,0,207
666,1068,477,439,3178,0,1562
667,1044,455,419,4219,1,5121
668,576,470,433,104,0,970
669,1106,507,462,4715,1,4106
670,939,279,488,3502,0,1997
671,640,279,300,4522,1,3321
672,954,256,246,1733,1,2989
673,1254,641,581,3730,1,3258
674,921,375,353,2717,1,532
675,646,496,456,3910,1,4976
676,808,58,59,2644,0,1125
677,66,176,172,4823,0,3729
678,1292,498,462,3564,1,1605
679,649,362,345,1294,1,839
680,1032,502,466,198,1,2932
681,1216,583,527,1745,0,4297
682,1177,583,527,2132,0,2124
683,650,281,269,1432,0,2270
684,415,498,460,4705,0,3968
685,298,409,376,916,1,248
686,335,496,455,3220,1,1092
687,579,137,141,3455,0,682
688,627,597,539,2851,0,4509
689,591,324,310,1765,1,3509
690,802,382,358,2573,0,4578
691,423,374,354,4699,1,3987
692,771,33,30,3024,0,1954
693,1033,498,461,2344,0,2287
694,440,211,207,3937,1,4826
695,358,280,283,368,1,1986
696,1103,597,536,2628,0,1361
697,954,256,246,4482,1,3491
698,927,377,358,4596,0,3957
699,921,375,353,972,1,81
700,123,480,440,1095,0,1368
701,168,487,466,596,0,1736
702,1121,159,160,4020,1,5131
703,913,42,63,2665,0,3577
704,973,312,300,4806,1,4086
705,1092,464,430,1909,1,3103
706,354,359,337,4083,1,4934
707,26,582,528,473,0,3315
708,1032,502,466,201,1,649
709,644,479,440,33,0,356
710,983,451,420,4533,1,3224
711,1232,462,427,4713,0,3954
712,937,166,166,62,0,2119
713,359,508,463,1113,0,2683
714,61,53,53,3004,1,2840
715,277,393,363,901,0,238
716,313,188,190,2090,1,2216
717,1165,246,236,3618,1,2741
718,928,490,451,4311,1,3477
719,1240,466,433,3422,1,1597
720,309,461,427,870,1,315
721,192,499,463,2654,1,3225
722,429,113,118,4299,0,3419
723,932,472,439,2921,1,4697
724,305,474,432,809,1,3894
725,105,453,415,475,0,607
726,818,552,513,1468,0,388
727,383,617,554,1383,0,1436
728,864,359,339,2606,1,729
729,677,453,415,3456,1,1885
730,1019,496,456,4749,0,3675
731,669,264,252,2004,0,3023
732,25,486,445,2051,1,33
733,177,573,519,152,0,1738
734,789,435,404,2520,0,3553
735,1145,520,476,3173,0,759
736,1315,138,140,191,1,2536
737,619,509,470,1550,0,688
738,969,442,409,3586,0,747
739,914,499,456,4377,0,3218
740,1047,548,500,4598,0,4105
741,874,279,488,3082,0,1249
742,1075,543,497,3952,1,4946
743,954,256,246,1741,1,677
744,961,483,442,3610,1,1491
745,971,464,433,3823,0,5105
746,873,569,516,2631,0,3571
747,44,477,442,64,0,5044
748,682,46,45,1955,1,4157
749,1255,499,465,3155,1,477
750,488,495,456,1170,1,1834
751,1236,358,339,3703,0,2061
752,919,429,397,4331,0,3263
753,1167,306,300,4847,1,3795
754,1316,635,576,3472,1,547
755,398,259,247,566,0,1728
756,53,499,457,396,1,2298
757,422,617,557,2218,0,1243
758,372,455,419,4472,1,3288
759,1155,345,326,1281,0,973
760,216,270,262,3334,0,1043
761,1056,458,427,3522,0,1460
762,1118,589,534,875,0,67
763,305,474,432,808,1,251
764,1155,345,326,3304,0,4840
765,106,488,458,1041,1,197
766,159,491,450,3382,0,1641
767,15,299,351,225,1,570
768,242,515,473,2970,1,1421
769,961,483,442,1932,1,3094
770,1110,80,82,3533,0,3654
771,947,564,510,2681,0,4595
772,574,520,475,4237,1,5015
773,27,466,427,3764,0,718
774,3,298,285,1877,1,2701
775,1060,459,427,3196,0,3826
776,321,464,427,4628,0,3717
777,321,464,427,4375,0,3413
778,1043,275,266,328,1,4204
779,44,477,442,30,0,148
780,501,380,358,1499,0,643
781,524,217,212,1689,1,3490
782,815,502,462,2506,0,4203
783,1255,499,465,2996,1,964
784,6,470,440,2978,0,4731
785,886,444,409,1288,0,1119
786,390,604,543,1390,0,3426
787,966,144,146,3431,1,1349
