row_id,name,startdate,location,description,offers,page_url
330,365,1001,0,3044,0,5736
331,22,922,0,3676,0,3295
332,4300,1529,0,432,0,4162
333,4416,1224,0,4243,0,5268
334,2444,706,0,4018,1,5661
335,595,2019,11,4639,1,428
336,65,1487,0,3796,0,2280
337,3007,1716,0,4203,0,5139
338,1655,1474,0,4899,0,5250
339,496,1456,11,3669,1,882
340,3956,1461,0,2383,0,3360
341,4579,2009,0,1884,0,2457
342,4581,1338,0,5264,0,5248
343,2261,172,0,5621,0,1635
344,2682,822,0,5863,0,4042
345,2224,1584,0,3170,0,4701
346,1174,503,0,5271,0,5861
347,429,2088,0,5954,0,2210
348,1346,1971,11,1686,1,357
349,2537,485,0,3276,0,3254
350,276,1717,0,4924,0,5783
351,3509,387,0,2371,0,2284
352,3956,1229,11,2355,1,460
353,2754,405,0,3706,0,1052
354,2372,373,0,3481,1,2961
355,612,1676,0,1511,0,3120
356,339,1900,11,3553,1,990
357,245,1897,11,4456,1,990
358,564,2121,11,3794,1,430
359,4519,281,0,3217,0,5079
360,2557,2000,11,5796,1,509
361,4966,273,0,5988,0,4317
362,613,1496,0,697,1,3159
363,4119,1096,0,1512,0,3987
364,357,1318,0,4493,0,5971
365,1502,1600,0,4255,0,2612
366,1478,932,0,3527,1,5274
367,1884,234,0,2271,0,5668
368,147,375,11,555,1,269
369,4014,1936,11,1416,1,597
370,2270,1311,11,6079,1,597
371,2098,2058,11,1321,1,760
372,4437,582,0,943,0,5334
373,3915,1461,0,2056,1,3148
374,2465,999,0,5133,0,3693
375,4634,966,0,2739,0,5463
376,2405,1022,0,1908,0,2502
377,2165,1296,0,2223,0,3921
378,2630,2028,11,5851,1,382
379,555,1077,0,3,0,2031
380,1017,52,0,3486,1,2844
381,4147,440,0,2442,0,2173
382,1367,896,0,1870,0,2424
383,613,944,0,3905,1,3145
384,1595,944,0,2719,0,5662
385,4358,2019,11,2770,1,761
386,3364,1943,11,4009,1,761
387,2688,1734,11,5849,1,761
388,4328,1735,0,1897,0,2548
389,4199,1485,0,2771,0,5419
390,3395,1995,11,2654,1,881
391,995,1340,0,5479,0,2020
392,1243,1787,0,903,1,3391
393,3012,1258,0,4312,0,1428
394,2687,2019,11,3001,1,159
395,1898,1456,11,4170,1,652
396,4283,1536,0,5202,0,5448
397,2832,2198,0,337,0,1689
398,106,2175,0,245,0,4955
399,2758,485,0,3420,0,5517
400,4129,690,0,2544,0,5536
401,4572,1148,0,2647,0,4590
402,2286,1002,0,5435,0,6016
403,1115,890,0,1291,0,3908
404,1769,288,0,5109,0,4096
405,4573,150,0,1973,0,1290
406,1050,741,0,4567,0,4535
407,1029,564,0,1119,0,2718
408,4546,895,0,1242,0,4513
409,4791,1368,0,971,0,5454
410,726,311,0,4654,0,2657
411,3304,1508,0,2808,0,4840
412,3460,1197,0,3899,0,1024
413,3740,2224,0,5473,0,1743
414,4347,1474,0,3982,0,4387
415,2234,1744,0,767,0,4750
416,1588,1581,11,5045,1,77
417,3754,1097,0,4520,1,1115
418,4272,978,0,730,1,4479
419,660,2039,0,3475,0,4171
420,4843,1547,0,5316,0,4811
421,4137,1318,0,1350,0,5757
422,2381,493,0,2176,0,3024
423,560,2019,11,2551,1,432
424,1722,1097,0,3937,0,1255
425,2573,1786,0,3286,0,2124
426,4157,1516,0,1395,0,5894
427,2302,1995,0,2968,0,2741
428,3292,1543,0,3087,0,3855
429,2936,1670,0,1484,0,4163
430,537,1375,0,6065,0,4344
431,3657,502,0,5286,1,5826
432,2372,928,0,2157,0,2964
433,510,721,0,1222,1,4478
434,945,1118,0,5482,0,2079
435,4777,388,0,941,0,5316
436,2372,233,11,2173,1,293
437,1959,1714,0,4301,0,1431
438,2210,1577,0,4886,0,5143
439,3217,1640,0,1263,0,5145
440,3648,184,0,3586,0,6172
441,2875,1980,0,3201,0,2525
442,441,243,0,5043,0,1020
443,1229,540,0,3003,0,3911
444,2007,480,11,4733,1,574
445,2462,292,0,33,0,3762
446,4935,272,0,1619,0,4271
447,3223,1950,11,231,1,985
448,3228,1943,11,2818,1,985
449,355,1900,11,3045,1,985
450,2144,1538,11,1067,1,752
451,3754,1240,0,4539,0,1144
452,1373,2019,0,4066,0,2463
453,2269,1824,0,4040,0,3660
454,3510,1456,11,5081,1,16
455,2477,2009,0,4074,0,5645
456,2341,1774,11,4957,1,218
