row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,aggregaterating,page_url
7787,4719,1032,1000,1,5296,2,2,0,1,3233
7788,6105,969,948,1,5296,2,2,0,1,1670
7789,1768,1207,1178,0,5296,1,2,0,1,2145
7790,4089,1133,1101,0,3123,1,2,0,1,5567
7791,626,1503,1469,0,2958,1,2,0,0,356
7792,4742,1196,1169,0,5296,1,2,0,1,1730
7793,7389,995,956,1,5296,2,2,0,0,1803
7794,7516,1386,1352,0,4891,1,2,0,1,2149
7795,6243,1328,1293,0,4002,1,2,0,0,7829
7796,6941,1114,1079,0,3886,1,2,0,1,3264
7797,3755,807,771,0,5296,1,2,0,1,4958
7798,4172,1190,1156,0,4477,1,2,0,0,6912
7799,2581,1140,1102,0,3154,1,2,0,1,5667
7800,8569,35,36,0,4881,1,2,0,1,9180
7801,4131,1136,1102,0,3382,1,2,0,1,2443
7802,4468,1446,1410,0,1545,0,2,0,0,6700
7803,7280,1231,1199,0,4221,1,2,0,0,5780
7804,3897,1452,1418,0,141,1,2,0,0,7484
7805,7334,1038,1004,0,5296,1,2,0,1,3313
7806,7577,1462,1427,0,1001,1,2,0,0,8554
7807,1481,975,936,0,5171,1,2,0,0,705
7808,1431,1307,1273,0,2922,1,2,0,0,656
7809,671,1167,1131,0,1062,1,2,0,0,920
7810,5149,1129,1098,0,5296,1,2,0,1,4273
7811,4680,975,945,0,1565,1,2,0,1,2327
7812,3284,1493,1459,0,987,1,2,0,1,6155
7813,1280,1254,1220,0,5296,1,2,0,0,538
7814,7501,998,971,0,5296,1,2,0,1,2867
7815,1542,1086,1051,0,2940,1,2,0,1,3692
7816,2370,1090,1054,0,1443,1,2,0,0,5073
7817,8489,1401,1364,0,289,1,2,0,1,5221
7818,8395,1016,979,0,5296,1,2,0,1,1367
7819,4976,1205,1170,0,4616,1,2,0,0,9037
7820,3702,1090,1054,0,5296,1,2,0,1,4233
7821,180,989,953,0,5296,1,2,0,1,1472
7822,7166,1012,975,1,5296,2,2,0,1,2508
7823,5507,1196,1166,0,3850,1,2,0,1,7400
7824,3607,1233,1199,0,5296,1,2,0,1,2152
7825,5632,1216,1181,0,5296,1,2,0,1,1504
7826,6988,1311,1278,0,2404,0,2,0,0,8506
7827,7078,1112,1078,0,5296,1,2,0,1,3174
7828,3410,1196,1169,0,5296,1,2,0,1,1329
7829,1851,1051,1018,0,5296,1,2,0,1,3299
7830,3291,1207,1175,0,1195,1,2,0,1,2439
7831,1688,1207,1173,0,5296,1,2,0,1,3219
7832,2798,1400,1363,0,2548,1,2,0,0,5954
7833,2680,108,104,0,3173,1,2,0,1,5763
7834,4493,1365,1332,0,1109,1,2,0,0,962
7835,7084,1165,1129,0,5296,1,2,0,1,5578
7836,3019,82,78,0,1723,3,3,1,1,8895
7837,4032,141,138,0,3503,1,2,0,1,553
7838,1343,1116,1078,0,2152,1,2,0,1,2018
7839,7723,1242,1206,1,5296,2,2,0,1,3198
7840,1942,1446,1410,1,5296,2,2,0,1,3641
7841,2233,1214,1181,0,738,1,2,0,0,1105
7842,1728,1208,1178,0,762,1,2,0,0,789
7843,7759,1228,1193,1,5296,2,2,0,1,2675
7844,4836,1020,984,1,5296,2,2,0,1,3368
7845,4244,1271,1238,0,42,1,2,0,0,6506
7846,8549,1206,1172,0,64,1,2,0,0,9074
7847,3764,1141,1112,0,4843,1,2,0,0,7172
7848,1663,1037,1002,0,5296,0,2,0,1,727
7849,719,146,142,0,2807,1,2,0,1,1197
7850,205,1192,1162,0,5296,1,2,0,1,2458
7851,5256,1382,1347,0,5296,1,2,0,0,223
7852,5185,1004,965,0,5296,1,2,0,1,5087
7853,1025,1225,1189,0,311,1,2,0,1,4687
7854,3028,995,959,0,5296,1,2,0,1,6009
7855,5783,1167,1132,0,3898,1,2,0,0,320
7856,2700,1247,1215,0,2608,1,2,0,1,4895
7857,2141,532,512,1,665,2,2,0,1,5786
7858,8468,457,436,0,1723,3,3,1,1,8961
7859,5220,1099,1064,0,257,1,2,0,0,7292
7860,2570,789,754,1,1448,2,2,0,0,1443
7861,1769,1120,1082,0,1832,1,2,0,1,1475
7862,7782,1352,1318,0,5296,1,2,0,1,6016
7863,5723,1168,1140,0,2019,1,2,0,0,7727
7864,2442,818,781,0,780,0,2,0,0,4984
7865,5322,22,22,0,3810,1,2,0,1,7378
7866,127,665,646,0,5296,1,2,0,1,1924
7867,8073,1226,1190,0,5296,1,2,0,0,8698
7868,3575,1150,1113,1,2155,2,2,0,1,4071
7869,8402,1053,1015,1,5296,2,2,0,1,2409
7870,3539,1017,980,0,5296,1,2,0,1,3618
7871,6496,1023,991,0,5296,1,2,0,1,4749
7872,1236,978,939,0,429,1,2,0,1,3656
7873,7116,1534,1498,0,2388,1,2,0,0,8319
7874,137,1257,1227,0,5296,1,2,0,1,4720
7875,5333,1160,1129,0,1862,1,2,0,0,7369
7876,3566,908,877,0,5296,1,2,0,0,2211
7877,4779,1439,1402,0,4856,1,2,0,0,7020
7878,7814,1127,1098,0,2721,0,2,0,1,4319
7879,5414,1085,1052,0,5296,1,2,0,1,3203
7880,7441,1160,1127,0,605,1,2,0,1,1869
7881,6089,1048,1014,0,5296,1,2,0,1,4474
7882,6549,1114,1077,0,5296,1,2,0,1,1787
7883,8200,1087,1051,0,1730,1,2,0,1,2774
7884,2480,1519,1484,0,4819,1,2,0,1,5674
7885,4413,1153,1116,0,3621,1,2,0,0,6630
7886,2201,1076,1043,0,3086,1,2,0,1,3788
7887,1126,1514,1477,0,2853,1,2,0,0,429
7888,5200,1080,1047,0,5296,1,2,0,1,1570
7889,5329,1205,1170,0,5296,1,2,0,1,3217
7890,4748,1439,1404,0,2601,1,2,0,0,5163
7891,6349,1528,1489,0,2204,1,2,0,0,2220
7892,1638,818,782,0,5296,1,2,0,0,8297
7893,5305,1133,1093,0,5296,0,2,0,1,7342
7894,1032,1060,1027,0,2731,1,2,0,1,355
7895,1390,1188,1156,0,1723,3,3,1,1,8971
7896,3385,1131,1098,0,5296,1,2,0,1,3871
7897,1364,1326,1292,0,5296,3,2,1,0,612
7898,383,1169,1140,0,1236,1,2,0,0,440
7899,4328,1188,1151,0,3593,1,2,0,0,6541
7900,8602,922,887,0,5296,1,2,0,1,4424
7901,3383,1244,1210,0,2067,1,2,0,0,6201
7902,4918,1147,1114,0,1779,1,2,0,0,7258
7903,311,628,610,0,5296,1,2,0,1,4944
7904,284,1181,1145,1,829,2,2,0,1,1908
7905,6856,689,666,0,5296,0,2,0,0,5317
7906,7062,1329,1294,0,2430,1,2,0,0,8271
7907,1509,779,740,0,5296,1,2,0,1,1946
7908,7965,1462,1426,0,3662,1,2,0,1,3221
7909,2173,1231,1195,0,5296,1,2,0,1,777
7910,813,87,83,0,1723,3,3,1,1,8857
7911,8629,990,959,0,5296,1,2,0,1,3575
7912,5953,1009,975,0,3948,1,2,0,1,7658
7913,7602,1050,1022,0,2586,1,2,0,1,8578
7914,967,936,902,0,2829,1,2,0,1,9070
7915,8548,922,892,0,1723,3,3,1,1,8839
7916,8555,1012,985,0,1723,3,3,1,1,8839
7917,8352,1570,1536,0,5296,1,2,0,1,9205
