row_id,name,startdate,enddate,description,eventattendancemode,offers,organizer,performer,url,page_url
3597,1529,745,777,264,1,0,0,0,0,1325
3598,1249,5092,5315,1094,1,0,0,0,0,3859
3599,1601,2386,2500,44,1,0,0,0,0,1364
3600,429,1520,1588,2529,1,0,0,0,0,181
3601,852,3725,3888,313,1,1,2,0,0,654
3602,1244,4436,4634,1556,1,1,0,0,0,1071
3603,1364,744,775,1041,1,0,0,0,0,1267
3604,110,955,994,214,1,0,0,0,0,1821
3605,928,2001,2083,113,1,0,0,0,0,696
3606,2493,5270,5499,1254,1,1,2,0,0,6162
3607,1725,687,713,2212,1,0,0,0,0,4732
3608,1244,4734,4951,1556,1,1,0,0,0,1159
3609,1555,2398,2513,1769,1,0,0,0,0,1339
3610,493,2673,2795,450,1,0,0,0,0,2271
3611,2493,5178,5408,1254,1,1,2,0,0,6138
3612,2041,139,138,2020,1,0,0,0,1,1710
3613,544,4305,4496,1660,1,0,0,0,0,2491
3614,2493,5621,5860,1254,1,0,2,0,0,6494
3615,1162,3148,3286,509,1,0,0,0,0,3402
3616,2493,5630,5872,1254,1,0,2,0,0,6496
3617,2493,5436,5670,1254,1,1,2,0,0,6199
3618,421,1134,1174,2614,1,0,0,0,0,134
3619,277,2799,2927,273,1,0,0,0,0,1993
3620,251,2106,2192,1613,1,0,0,0,0,61
3621,689,4154,4338,302,0,1,2,0,0,2673
3622,2388,422,424,15,1,0,0,0,0,5760
3623,2493,4108,4296,1254,1,1,2,0,0,5969
3624,1242,5403,5633,275,1,1,0,0,0,3593
3625,2493,5498,5735,1254,1,1,2,0,0,6214
3626,652,1072,1113,470,1,0,0,0,0,485
3627,526,929,967,1405,1,0,0,0,0,2421
3628,2359,1595,1664,959,1,0,0,0,0,1632
3629,1674,2798,2926,514,1,0,0,0,0,4670
3630,1250,2563,2682,1557,1,0,0,0,0,3684
3631,1247,3560,3712,1558,1,0,0,0,0,3906
3632,526,525,535,1405,1,0,0,0,0,2411
3633,2275,3806,3974,1957,1,1,2,0,0,1619
3634,2022,2791,2922,1442,1,1,0,0,0,5223
3635,1971,2445,2558,1428,1,0,0,0,0,5146
3636,2082,2588,2708,274,1,0,0,0,0,5296
3637,2485,1918,1997,2215,1,0,0,0,0,1660
3638,731,5180,5407,1390,1,0,2,0,0,2730
3639,2493,5253,5482,1254,1,1,2,0,0,6158
3640,52,37,36,314,1,0,0,0,0,1763
3641,1242,5196,5424,275,1,1,0,0,0,3585
3642,536,1919,1995,267,1,0,0,0,0,333
3643,1249,4738,4954,1094,1,0,0,0,0,3843
3644,477,2946,3079,1011,1,1,0,0,0,2254
3645,280,3852,4022,763,1,0,0,0,0,2002
3646,2420,1358,1422,452,1,0,0,0,0,5809
3647,305,894,933,2413,1,0,0,0,0,2036
3648,1015,157,154,2160,1,0,0,0,0,3197
3649,2101,3146,3282,2408,1,0,0,0,0,5314
3650,1266,1372,1437,2279,1,0,0,0,0,1214
3651,2541,3733,3898,366,1,0,0,0,0,6633
3652,1343,487,491,2005,1,0,0,0,0,4128
3653,501,3186,3328,921,1,0,0,0,0,2308
3654,1250,5615,5851,1557,1,0,0,0,0,3719
3655,1954,2280,2382,1421,1,0,0,0,0,5114
3656,2003,4423,4622,2153,1,1,0,0,0,5210
3657,2493,5128,5355,1254,1,1,2,0,0,6120
3658,1986,1659,1725,2388,1,0,0,0,0,5182
3659,2368,215,210,2254,1,0,0,0,0,5738
3660,2605,3278,3415,1384,1,1,0,0,0,721
3661,887,608,641,2592,1,1,0,0,0,656
3662,511,903,940,1493,1,0,0,0,0,2315
3663,518,1487,1555,368,1,0,0,0,0,246
3664,2557,2658,2779,1673,1,0,0,0,0,6644
3665,1435,3158,3298,889,1,0,0,0,0,4239
3666,2493,1864,1945,1254,1,0,2,0,0,6276
3667,1042,1342,1399,1459,1,0,0,0,0,764
3668,873,3024,3161,690,1,1,0,0,0,3008
3669,1918,84,85,1439,1,0,0,0,0,5073
3670,2294,504,511,2306,1,0,0,0,1,4117
3671,462,701,725,2614,1,0,0,0,0,225
3672,1247,2825,2956,1558,1,0,0,0,0,3897
3673,2323,3165,3305,1926,1,0,0,0,0,5699
3674,2550,3299,3437,1467,1,0,0,0,0,6640
3675,760,2880,3010,2191,1,0,0,0,0,2798
3676,1392,227,220,1652,1,0,0,0,0,4191
3677,660,2,62,2326,1,0,0,0,0,2600
3678,442,1731,1795,2277,1,0,0,0,0,205
3679,785,2207,2302,2599,1,0,0,0,0,525
3680,1242,4758,4977,275,1,1,0,0,0,3564
3681,1820,4445,4644,573,1,0,0,0,0,4912
3682,1128,288,287,798,1,0,0,0,0,3305
3683,231,309,310,806,1,0,0,0,0,1728
3684,1972,4561,4760,580,1,0,0,0,0,5127
3685,1122,847,886,781,1,0,0,0,0,3297
3686,1972,4650,4862,580,1,0,0,0,0,5132
3687,1455,5118,5340,1141,1,0,0,0,0,4303
3688,2493,1854,1928,1254,1,0,2,0,0,6274
3689,1711,1025,1060,803,1,0,0,0,0,1393
3690,31,3536,3687,1132,1,0,0,0,0,4404
3691,1252,5659,5898,1558,1,0,0,0,0,3672
3692,821,4280,4472,1067,1,1,0,0,0,577
3693,1682,4521,4718,559,1,0,0,0,0,4680
3694,1809,2331,2435,1257,1,0,0,0,0,1495
3695,1999,1413,1478,904,1,0,0,0,0,1555
3696,1588,4348,4538,1640,1,0,0,0,0,4562
3697,2023,3136,3274,1682,1,1,2,0,0,5224
3698,2344,4248,4437,2455,0,1,0,0,0,5712
3699,1251,2096,2178,1558,1,0,0,0,0,3731
3700,666,860,898,1199,1,0,0,0,0,2633
3701,1491,2754,2879,2014,1,0,0,0,0,4374
