row_id,name,startdate,location,description,offers,page_url
268,3364,1341,6,225,1,953
269,2153,663,0,4479,0,3416
270,3380,1390,0,1606,0,3728
271,581,1030,0,3971,0,3127
272,2882,1296,6,57,1,220
273,1791,860,0,4197,0,1530
274,3342,954,0,593,0,2966
275,857,1714,0,1769,1,4375
276,942,1209,0,1644,0,4461
277,490,596,0,536,0,1909
278,2693,1458,0,3857,0,2389
279,441,702,0,1529,0,2583
280,2311,638,0,4109,0,3006
281,2137,1254,0,1610,0,3948
282,3593,1041,0,2194,0,4073
283,99,1739,6,2271,1,899
284,2933,1739,6,2395,1,899
285,3307,1745,6,2388,1,899
286,307,1534,6,1913,1,8
287,326,1490,6,1720,1,645
288,3342,943,6,594,1,645
289,930,943,6,1043,1,645
290,1970,750,6,3781,1,645
291,2379,1707,0,3630,1,3984
292,3181,433,0,600,0,3367
293,3538,446,0,1456,0,1297
294,576,1406,0,3392,0,1348
295,2648,176,0,354,0,3599
296,519,1056,0,1811,0,1533
297,2062,750,6,2189,1,539
298,1245,1621,6,3067,1,266
299,1436,1714,0,2333,0,2411
300,2397,1203,6,741,1,143
301,658,838,0,1904,0,1892
302,997,765,0,1492,0,3552
303,2414,1300,0,2454,1,3184
304,2420,431,0,636,0,3244
305,2401,1507,0,2497,0,2921
306,1985,1066,0,3725,0,3237
307,2855,1687,6,2211,1,426
308,999,772,0,1486,0,3554
309,1926,659,0,3778,0,4367
310,2449,1645,6,4175,1,66
311,2248,1619,6,4174,1,66
312,2450,1604,6,4175,1,66
313,1562,1453,0,3411,0,1388
314,2554,723,0,1958,0,1912
315,1877,496,0,1624,1,2549
316,2033,243,0,2745,0,2805
317,3017,729,0,1696,0,2817
318,159,1314,0,1708,0,3615
319,1270,801,0,356,0,2351
320,1134,1672,6,126,1,805
321,1988,1090,6,3087,1,666
322,2263,496,0,3122,1,4431
323,3744,295,6,840,1,327
324,2326,1075,0,4329,0,3642
325,2019,1590,6,2825,1,440
326,744,1811,6,3250,1,84
327,3027,1812,6,4203,1,84
328,2290,1813,6,4113,1,84
329,104,1023,0,3699,0,3595
330,437,550,0,3657,1,2769
331,2172,1063,6,230,1,775
332,712,1687,6,757,1,156
333,2749,1681,6,519,1,156
334,702,1673,6,279,1,156
335,1372,1673,6,546,1,156
336,1516,1672,6,3921,1,156
337,1329,1646,6,755,1,156
338,3233,1554,6,1069,1,734
339,1681,1664,6,4321,1,546
340,325,1149,0,1579,0,3066
341,3013,636,0,3360,0,2591
342,696,1087,0,4013,0,1717
343,821,1707,6,972,1,900
344,1240,339,0,3057,0,2319
345,1912,1394,0,3684,0,3274
346,3683,1825,0,4052,0,4240
347,1292,483,0,366,0,1551
348,1034,1681,0,1782,0,2136
349,1149,1063,6,2719,1,269
350,2365,534,6,1977,1,310
351,3757,385,6,602,1,310
352,1549,1747,0,1389,0,2264
353,1632,1507,0,3706,0,3279
354,3283,1852,0,283,0,4044
355,3160,1199,0,4498,0,3423
356,1776,1203,6,1810,1,810
357,450,1090,6,2920,1,503
358,1269,952,0,2317,1,2352
359,3153,1574,0,3589,0,3505
360,1730,649,0,1918,0,4245
361,2147,1074,0,1322,0,2008
362,484,1045,0,3496,0,3814
363,1952,1233,6,4200,1,671
364,450,1094,0,4413,0,2700
