row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
2070,190,369,369,0,3535,0,730
2071,1583,2762,2952,0,2771,0,4137
2072,2462,3622,3934,0,2986,0,1222
2073,2300,3002,3214,0,794,0,5000
2074,1806,842,856,0,1530,0,1488
2075,4362,1019,1049,0,1717,0,539
2076,3156,1324,1391,0,2444,0,2102
2077,1757,636,639,0,3273,0,1552
2078,282,726,730,1,318,1,2214
2079,2191,3455,3722,1,1698,1,5645
2080,4011,3894,4287,0,260,0,3339
2081,60,1022,1050,0,947,0,4213
2082,3130,2422,2588,0,2401,0,5386
2083,4174,3556,3846,0,926,0,1250
2084,170,3346,3583,0,162,0,4682
2085,916,637,640,0,3445,0,2463
2086,90,3630,3943,0,627,0,5787
2087,103,3709,4043,0,122,0,5792
2088,2166,2967,3162,0,3279,0,2636
2089,1057,2665,2849,0,777,0,3948
2090,4364,2833,3027,0,3353,0,6046
2091,4234,1947,2089,0,2661,0,1141
2092,3409,1990,2135,0,901,0,1144
2093,1740,2100,2263,0,1485,0,5229
2094,757,2390,2557,0,521,0,5373
2095,1096,3061,3276,0,2992,0,2807
2096,2461,2482,2655,0,1260,0,4393
2097,1442,1121,1157,0,1174,0,1995
2098,2789,3779,4132,0,702,0,8
2099,390,3527,3808,0,2822,0,628
2100,1275,3089,3311,0,1115,0,1372
2101,1057,2646,2828,0,777,0,3939
2102,4496,1085,1113,0,1075,0,4940
2103,2604,565,568,0,45,0,824
2104,1252,1232,1286,0,1304,0,4055
2105,1610,3034,3245,0,1416,0,5660
2106,283,680,684,1,850,1,2210
2107,3047,2313,2522,0,2351,0,4842
2108,9,3470,3733,0,3220,0,427
2109,2606,2171,2336,0,2157,0,2748
2110,4022,2838,3033,0,2435,0,3425
2111,2939,1290,1356,0,3176,0,3396
2112,771,2385,2555,0,2713,0,3571
2113,1057,2771,2964,0,777,0,3993
2114,1137,1152,1190,0,2908,0,4427
2115,2170,2679,2875,0,3074,0,4506
2116,2873,1536,1637,0,2777,0,5698
2117,542,356,356,0,999,0,313
2118,1274,862,886,0,1115,0,1371
2119,2581,3730,4076,0,2099,0,440
2120,3192,340,340,0,760,0,657
2121,159,375,376,0,1833,0,917
2122,3499,2818,3012,0,742,0,5892
2123,2832,3752,4102,0,2196,0,369
2124,4551,2041,2195,0,1125,0,1768
2125,2085,606,611,0,767,0,660
2126,2814,776,783,0,107,0,1793
2127,1408,2874,3076,1,670,1,4237
2128,1057,2617,2797,0,777,0,3916
2129,3027,1724,1836,0,1207,0,1919
2130,2473,1140,1176,0,1225,0,4707
2131,3510,1944,2093,0,1458,0,2164
2132,1139,3937,4343,0,2561,0,1788
2133,757,2341,2501,0,521,0,5345
2134,1136,1243,1301,0,2909,0,4430
2135,3193,2509,2674,0,1244,0,3847
2136,4609,371,371,0,23,0,964
2137,2508,3478,3739,0,2986,0,1205
2138,2838,3467,3731,0,2738,0,3084
2139,1057,2711,2896,0,777,0,3966
2140,2070,2976,3177,0,1840,0,4162
2141,2781,1743,1857,0,2713,0,3554
2142,3130,2279,2448,0,2401,0,5325
2143,3098,2419,2583,0,2358,0,5399
2144,3038,660,662,0,2261,0,3725
2145,1606,3801,4159,0,1153,0,4703
2146,2413,3863,4246,0,2738,0,3091
2147,1057,2793,2986,0,777,0,4010
2148,2622,1797,1918,0,2759,0,1529
2149,4514,468,467,1,1580,1,2098
2150,2325,3831,4204,0,2738,0,3667
2151,3648,2838,3030,0,1748,0,3158
2152,608,1577,1689,0,1570,0,4103
2153,4404,545,551,0,2184,0,518
2154,3526,789,800,0,2375,0,5762
2155,2470,1922,2061,0,2946,0,5544
2156,2583,86,86,0,883,0,241
2157,1460,2489,2657,0,2170,0,2855
2158,2352,3793,4146,1,385,1,4464
2159,2438,99,99,0,2230,0,804
2160,1870,1268,1333,0,3068,0,5896
2161,2259,1206,1256,0,2713,0,975
