row_id,name,startdate,enddate,description,eventattendancemode,offers,performer,url,page_url
420,4218,1009,1011,5595,0,1,0,0,4811
421,2323,1766,1777,3350,0,0,0,0,2921
422,4763,1443,1454,4708,0,1,0,0,5481
423,3468,1835,1847,4552,0,0,0,0,4058
424,4840,1487,1497,4358,0,0,0,0,5439
425,3100,869,871,1124,0,1,0,0,3682
426,4009,1087,1090,966,0,1,0,0,4599
427,4542,917,919,5132,0,1,0,0,5121
428,508,1723,1734,3705,0,0,0,0,1034
429,4000,968,970,113,0,1,0,0,4592
430,1613,698,700,1839,0,1,0,0,2202
431,2093,1713,1724,808,0,0,0,0,2685
432,4397,191,192,361,0,1,0,0,4994
433,1704,1135,1140,1128,0,1,0,0,2272
434,4331,93,93,894,0,1,0,0,4928
435,297,1443,1453,2921,0,1,0,0,729
436,382,1278,1284,798,0,1,0,0,922
437,5301,734,736,931,0,1,0,0,228
438,1230,1309,1316,3463,0,1,0,0,1817
439,1308,2124,2137,1450,0,0,0,0,1873
440,1877,1987,1999,290,0,0,0,0,2456
441,4814,2028,2041,358,0,0,0,0,5392
442,5484,787,789,394,0,1,0,0,403
443,46,1911,1923,5688,0,0,0,0,1561
444,548,763,765,1698,0,0,0,0,1073
445,887,307,308,1757,0,0,0,0,1411
446,3623,1841,1853,5542,0,0,0,0,4241
447,843,167,167,1421,0,0,0,0,1364
448,2986,2098,2111,5764,0,0,0,0,3575
449,1452,2129,2142,4457,0,0,0,0,2065
450,1602,1572,1580,959,0,0,0,0,2192
451,951,2148,2160,5681,0,1,0,0,1475
452,495,877,879,434,0,1,0,0,1024
453,3999,1087,1090,952,0,1,0,0,4590
454,4663,905,907,2931,0,1,0,0,5255
455,4333,663,665,612,0,0,0,0,4930
456,1813,1874,1886,1863,0,0,0,0,2402
457,4919,1120,1125,4348,0,1,0,0,5536
458,4809,1953,1965,4453,0,0,0,0,5388
459,5265,685,687,2366,0,1,0,0,167
460,5261,1080,1082,1038,0,1,0,0,179
461,1985,1947,1959,1883,0,0,0,0,2569
462,5646,1805,1817,772,0,0,0,0,564
463,3970,2140,2152,5672,0,1,0,0,4561
464,5534,1881,1893,3567,0,0,0,0,432
465,3831,224,225,643,0,0,0,0,4423
466,2300,1888,1900,1931,0,0,0,0,2896
467,5339,449,450,5332,0,1,0,0,203
468,622,529,531,24,0,0,0,0,1148
469,565,872,874,2901,0,1,0,0,1092
470,1645,1729,1740,3223,0,1,0,0,2223
471,4729,140,140,163,0,1,0,0,4000
472,2843,1843,1855,3365,0,0,0,0,3432
473,5714,2044,2057,3962,0,0,0,0,1615
474,4547,678,680,4411,0,1,0,0,5127
475,2544,1698,1709,145,0,0,0,0,3137
476,5729,914,916,5696,0,1,0,0,2247
