row_id,name,startdate,enddate,location,description,offers,organizer,performer,page_url
191,17,54,57,0,1,0,0,0,67
192,42,55,59,0,8,0,0,0,67
193,17,57,60,0,1,0,0,0,67
194,29,20,50,0,7,0,0,0,67
195,56,39,40,0,9,0,0,0,67
196,11,41,41,0,4,0,0,0,67
197,17,49,49,0,1,0,0,0,148
198,17,50,51,0,1,0,0,0,148
199,61,52,56,0,6,1,0,0,148
200,17,53,55,0,1,0,0,0,148
201,17,54,57,0,1,0,0,0,148
202,42,55,59,0,8,0,0,0,148
203,17,57,60,0,1,0,0,0,148
204,29,20,50,0,7,0,0,0,148
205,56,39,40,0,9,0,0,0,148
206,11,41,41,0,4,0,0,0,148
207,17,49,49,0,1,0,0,0,365
208,17,50,51,0,1,0,0,0,365
209,61,52,56,0,6,1,0,0,365
210,17,53,55,0,1,0,0,0,365
211,17,54,57,0,1,0,0,0,365
212,42,55,59,0,8,0,0,0,365
213,17,57,60,0,1,0,0,0,365
214,29,20,50,0,7,0,0,0,365
215,56,39,40,0,9,0,0,0,365
216,11,41,41,0,4,0,0,0,365
217,20,94,98,0,10,0,0,1,182
218,17,49,49,0,1,0,0,0,182
219,17,50,51,0,1,0,0,0,182
220,61,52,56,0,6,1,0,0,182
221,17,53,55,0,1,0,0,0,182
222,17,54,57,0,1,0,0,0,182
223,42,55,59,0,8,0,0,0,182
224,17,57,60,0,1,0,0,0,182
225,29,20,50,0,7,0,0,0,182
226,56,39,40,0,9,0,0,0,182
227,11,41,41,0,4,0,0,0,182
228,15,4,5,1,27,0,1,1,165
229,17,49,49,0,1,0,0,0,165
230,17,50,51,0,1,0,0,0,165
231,61,52,56,0,6,1,0,0,165
232,17,53,55,0,1,0,0,0,165
233,17,54,57,0,1,0,0,0,165
234,42,55,59,0,8,0,0,0,165
235,17,57,60,0,1,0,0,0,165
236,29,20,50,0,7,0,0,0,165
237,56,39,40,0,9,0,0,0,165
238,11,41,41,0,4,0,0,0,165
239,17,49,49,0,1,0,0,0,420
240,17,50,51,0,1,0,0,0,420
241,61,52,56,0,6,1,0,0,420
242,17,53,55,0,1,0,0,0,420
243,17,54,57,0,1,0,0,0,420
244,42,55,59,0,8,0,0,0,420
245,17,57,60,0,1,0,0,0,420
246,29,20,50,0,7,0,0,0,420
247,56,39,40,0,9,0,0,0,420
248,11,41,41,0,4,0,0,0,420
249,17,49,49,0,1,0,0,0,296
