name,author,recipeingredient,recipeyield,preptime,totaltime
778,-1,-1,607,477,546
779,-1,-1,608,477,547
780,-1,-1,609,478,-1
781,-1,-1,610,479,548
782,-1,-1,611,480,549
783,-1,-1,-1,-1,-1
784,-1,-1,612,481,550
785,-1,-1,613,-1,-1
786,-1,-1,614,-1,551
787,-1,-1,615,482,552
788,-1,-1,616,483,553
789,-1,-1,-1,-1,-1
790,-1,-1,-1,-1,-1
791,-1,-1,617,-1,554
792,-1,-1,-1,-1,-1
793,-1,-1,618,484,555
794,-1,-1,-1,-1,-1
795,-1,-1,619,-1,555
796,-1,-1,620,485,556
797,-1,-1,621,486,557
798,-1,-1,622,487,558
799,-1,-1,623,488,559
800,-1,-1,623,-1,-1
801,-1,-1,623,489,560
802,-1,-1,624,489,561
803,-1,-1,625,490,562
804,-1,-1,626,491,563
805,-1,-1,627,492,564
806,-1,-1,628,-1,565
807,-1,-1,629,493,566
808,-1,-1,630,-1,-1
809,-1,-1,631,494,567
810,-1,-1,632,495,568
811,-1,-1,633,496,569
812,-1,-1,634,496,569
813,-1,-1,-1,497,570
814,-1,-1,635,498,571
815,-1,-1,636,-1,572
816,-1,-1,637,499,572
817,-1,-1,638,500,573
818,-1,-1,639,501,574
819,-1,-1,-1,-1,-1
820,-1,-1,640,502,575
821,-1,-1,641,503,576
822,-1,-1,642,504,577
823,-1,-1,643,505,578
824,-1,-1,644,506,579
825,-1,-1,-1,-1,-1
826,-1,-1,-1,-1,-1
827,-1,-1,645,-1,-1
828,-1,-1,646,507,-1
829,-1,-1,647,508,580
830,-1,-1,648,-1,-1
831,-1,-1,-1,-1,581
832,-1,-1,649,508,582
833,-1,-1,650,509,583
834,-1,-1,651,510,584
835,-1,-1,652,510,585
836,-1,-1,653,510,586
837,-1,-1,654,511,587
838,-1,-1,-1,512,-1
839,-1,-1,655,513,588
840,-1,-1,656,514,589
841,-1,-1,-1,515,590
842,-1,-1,656,516,591
843,-1,-1,-1,-1,-1
844,-1,-1,657,517,592
845,-1,-1,658,518,593
846,-1,-1,659,519,594
847,-1,-1,660,520,595
848,-1,-1,661,521,596
849,-1,-1,662,522,-1
850,-1,-1,663,-1,-1
851,-1,-1,664,523,597
852,-1,-1,665,524,597
853,-1,-1,-1,525,-1
854,-1,-1,666,526,598
855,-1,-1,-1,527,599
856,-1,-1,667,528,600
857,-1,-1,-1,-1,-1
858,-1,-1,667,528,600
859,-1,-1,668,529,601
860,-1,-1,669,530,602
861,-1,-1,-1,-1,-1
862,-1,-1,670,530,-1
863,-1,-1,671,531,603
864,-1,-1,672,532,604
865,-1,-1,673,533,605
866,-1,-1,674,534,606
867,-1,-1,675,-1,-1
868,-1,-1,675,535,607
869,-1,-1,676,536,-1
870,-1,-1,677,537,608
871,-1,-1,678,538,609
872,-1,-1,679,539,610
873,-1,-1,680,539,-1
874,-1,-1,680,540,611
875,-1,-1,681,540,611
876,-1,-1,682,541,612
877,-1,-1,683,542,613
878,-1,-1,684,543,614
879,-1,-1,685,544,615
880,-1,-1,686,545,616
881,-1,-1,687,-1,-1
882,-1,-1,688,546,617
883,-1,-1,689,547,618
884,-1,-1,690,548,619
885,-1,-1,691,549,620
886,-1,-1,692,550,621
887,-1,-1,693,551,622
888,-1,-1,694,552,622
889,-1,-1,694,553,623
890,-1,-1,695,-1,-1
891,-1,-1,696,554,624
892,-1,-1,697,555,625
893,-1,-1,698,556,626
894,-1,-1,-1,557,627
895,-1,-1,699,558,-1
896,-1,-1,700,-1,628
897,-1,-1,701,559,629
898,-1,-1,702,560,-1
899,-1,-1,703,561,630
900,-1,-1,703,561,631
901,-1,-1,704,562,-1
902,-1,-1,705,562,632
903,-1,-1,706,562,633
904,-1,-1,707,563,634
905,-1,-1,708,563,635
906,-1,-1,709,564,636
907,-1,-1,-1,565,637
908,-1,-1,709,566,638
909,-1,-1,710,566,639
910,-1,-1,711,567,-1
911,-1,-1,712,567,640
912,-1,-1,713,568,641
913,-1,-1,713,568,642
914,-1,-1,714,569,643
915,-1,-1,715,570,644
916,-1,-1,716,571,645
917,-1,-1,-1,-1,-1
918,-1,-1,-1,-1,-1
919,-1,-1,717,571,646
920,-1,-1,717,572,647
921,-1,-1,718,573,648
922,-1,-1,719,574,649
923,-1,-1,720,575,650
924,-1,-1,721,576,651
925,-1,-1,721,-1,-1
926,-1,-1,722,577,652
927,-1,-1,723,-1,653
928,-1,-1,-1,-1,654
929,-1,-1,724,577,655
930,-1,-1,725,-1,656
931,-1,-1,726,-1,-1
932,-1,-1,-1,578,657
933,-1,-1,727,-1,658
934,-1,-1,728,-1,-1
935,-1,-1,729,579,659
936,-1,-1,730,580,660
937,-1,-1,731,581,-1
938,-1,-1,-1,-1,-1
939,-1,-1,732,-1,-1
940,-1,-1,733,581,661
941,-1,-1,734,582,662
942,-1,-1,735,-1,-1
