name,author,recipecategory,recipecuisine,aggregaterating,nutrition,suitablefordiet
531,-1,379,242,-1,0,0
532,-1,380,243,-1,0,0
533,-1,381,243,-1,0,0
534,-1,382,243,-1,0,0
535,-1,383,244,-1,0,0
536,-1,384,245,-1,0,0
537,-1,384,245,-1,0,0
538,-1,385,245,-1,0,0
539,-1,386,245,-1,0,0
540,-1,387,245,-1,0,0
541,-1,388,245,-1,0,0
542,-1,388,245,-1,0,0
543,-1,388,245,-1,0,0
544,-1,389,245,-1,0,0
545,-1,390,245,-1,0,0
546,-1,390,245,-1,0,0
547,-1,390,245,-1,0,0
548,-1,390,245,-1,0,0
549,-1,390,245,-1,0,0
550,-1,390,245,-1,0,0
551,-1,390,245,-1,0,0
552,-1,391,245,-1,0,0
553,-1,392,245,-1,0,0
554,-1,392,245,-1,0,0
555,-1,393,246,-1,0,0
556,-1,394,247,-1,0,0
557,-1,394,248,-1,0,0
558,-1,394,248,-1,0,0
559,-1,394,248,-1,0,0
560,-1,394,248,-1,0,0
561,-1,395,248,-1,0,0
562,-1,396,248,-1,0,0
563,-1,397,248,-1,0,0
564,-1,398,248,-1,0,0
565,-1,398,248,-1,0,0
566,-1,399,248,-1,0,0
567,-1,400,248,-1,0,0
568,-1,401,248,-1,0,0
569,-1,402,248,-1,0,0
570,-1,403,248,-1,0,0
571,-1,403,249,-1,0,0
572,-1,403,250,-1,0,0
573,-1,404,251,-1,0,0
574,-1,405,252,-1,0,0
575,-1,405,252,-1,0,0
576,-1,406,253,-1,0,0
577,-1,407,254,-1,0,0
578,-1,408,254,-1,0,0
579,-1,408,255,-1,0,0
580,-1,408,256,-1,0,0
581,-1,409,256,-1,0,0
582,-1,410,256,-1,0,0
583,-1,411,256,-1,0,0
584,-1,411,256,-1,0,0
585,-1,412,256,-1,0,0
586,-1,412,256,-1,0,0
587,-1,413,256,-1,0,0
588,-1,414,256,-1,0,0
589,-1,415,256,-1,0,0
590,-1,416,256,-1,0,0
591,-1,417,256,-1,0,0
592,-1,418,257,-1,0,0
593,-1,419,258,-1,0,0
594,-1,420,258,-1,0,0
595,-1,421,258,-1,0,0
596,-1,422,258,-1,0,0
597,-1,422,258,-1,0,0
598,-1,423,258,-1,0,0
599,-1,423,258,-1,0,0
600,-1,424,259,-1,0,0
601,-1,425,260,-1,0,0
602,-1,426,261,-1,0,0
603,-1,427,262,-1,0,0
604,-1,428,262,-1,0,0
605,-1,428,262,-1,0,0
606,-1,429,262,-1,0,0
607,-1,430,262,-1,0,0
608,-1,431,262,-1,0,0
609,-1,432,262,-1,0,0
610,-1,433,262,-1,0,0
611,-1,433,262,-1,0,0
612,-1,434,262,-1,0,0
613,-1,435,263,-1,0,0
614,-1,436,264,-1,0,0
615,-1,436,264,-1,0,0
616,-1,436,264,-1,0,0
617,-1,436,265,-1,0,0
618,-1,436,266,-1,0,0
619,-1,437,266,-1,0,0
620,-1,438,266,-1,0,0
621,-1,439,267,-1,0,0
622,-1,440,268,-1,0,0
623,-1,441,268,-1,0,0
624,-1,442,268,-1,0,0
625,-1,443,269,-1,0,0
626,-1,444,270,-1,0,0
627,-1,445,271,-1,0,0
628,-1,446,272,-1,0,0
629,-1,447,272,-1,0,0
630,-1,448,272,-1,0,0
631,-1,449,272,-1,0,0
632,-1,450,273,-1,0,0
633,-1,451,273,-1,0,0
634,-1,452,274,-1,0,0
635,-1,453,275,-1,0,0
636,-1,454,276,-1,0,0
637,-1,455,277,-1,0,0
638,-1,456,277,-1,0,0
639,-1,457,277,-1,0,0
640,-1,458,277,-1,0,0
641,-1,459,277,-1,0,0
642,-1,460,277,-1,0,0
643,-1,461,277,-1,0,0
644,-1,462,277,-1,0,0
645,-1,463,277,-1,0,0
646,-1,463,278,-1,0,0
647,-1,463,279,-1,0,0
648,-1,463,279,-1,0,0
649,-1,464,280,-1,0,0
650,-1,465,281,-1,0,0
651,-1,465,282,-1,0,0
652,-1,465,283,-1,0,0
653,-1,466,283,-1,0,0
654,-1,466,283,-1,0,0
655,-1,466,283,-1,0,0
656,-1,467,283,-1,0,0
657,-1,467,283,-1,0,0
658,-1,468,283,-1,0,0
659,-1,469,283,-1,0,0
660,-1,469,283,-1,0,0
661,-1,469,283,-1,0,0
662,-1,469,283,-1,0,0
663,3,-1,-1,-1,0,0
664,-1,470,284,-1,0,0
665,-1,471,285,-1,0,0
666,-1,472,286,-1,0,0
667,-1,473,287,-1,0,0
668,-1,473,287,-1,0,0
669,-1,473,287,-1,0,0
670,-1,474,287,-1,0,0
671,-1,475,287,-1,0,0
672,-1,476,287,-1,0,0
673,-1,477,287,-1,0,0
674,-1,478,288,-1,0,0
675,-1,479,289,-1,0,0
676,-1,480,290,-1,0,0
677,-1,480,291,-1,0,0
678,-1,481,291,-1,0,0
679,-1,482,292,-1,0,0
680,-1,483,293,-1,0,0
681,-1,484,293,-1,0,0
682,-1,485,294,-1,0,0
683,-1,486,295,-1,0,0
684,-1,487,296,-1,0,0
685,-1,488,296,-1,0,0
686,-1,488,296,-1,0,0
687,-1,488,297,-1,0,0
688,-1,488,298,-1,0,0
689,-1,488,298,-1,0,0
690,-1,488,298,-1,0,0
691,-1,488,298,-1,0,0
692,-1,489,298,-1,0,0
693,-1,490,299,-1,0,0
694,-1,491,300,-1,0,0
695,-1,492,300,-1,0,0
696,-1,493,301,-1,0,0
697,-1,494,301,-1,0,0
698,-1,495,301,-1,0,0
699,-1,496,301,-1,0,0
700,-1,496,301,-1,0,0
701,-1,497,302,-1,0,0
702,-1,498,303,-1,0,0
703,-1,499,303,-1,0,0
704,-1,499,304,-1,0,0
705,-1,499,305,-1,0,0
706,-1,499,305,-1,0,0
707,-1,499,306,-1,0,0
708,-1,499,307,-1,0,0
709,-1,499,307,-1,0,0
710,-1,499,307,-1,0,0
711,-1,499,307,-1,0,0
712,-1,500,307,-1,0,0
713,-1,501,307,-1,0,0
714,-1,502,307,-1,0,0
715,-1,503,307,-1,0,0
716,-1,504,307,-1,0,0
717,-1,504,307,-1,0,0
718,-1,505,307,-1,0,0
719,-1,505,307,-1,0,0
720,-1,506,307,-1,0,0
721,-1,507,307,-1,0,0
722,-1,507,307,-1,0,0
723,-1,507,307,-1,0,0
724,-1,507,308,-1,0,0
725,-1,507,309,-1,0,0
726,-1,508,309,-1,0,0
727,-1,509,309,-1,0,0
728,-1,510,309,-1,0,0
729,-1,511,309,-1,0,0
730,-1,512,309,-1,0,0
731,-1,513,309,-1,0,0
732,-1,514,309,-1,0,0
733,-1,515,310,-1,0,0
734,-1,516,311,-1,0,0
735,-1,517,312,-1,0,0
736,-1,518,312,-1,0,0
737,-1,518,312,-1,0,0
738,-1,519,313,-1,0,0
739,-1,519,314,-1,0,0
740,-1,520,314,-1,0,0
741,-1,520,314,-1,0,0
742,-1,520,314,-1,0,0
743,-1,520,314,-1,0,0
744,-1,521,315,-1,0,0
745,-1,522,316,-1,0,0
746,-1,523,316,-1,0,0
747,-1,524,316,-1,0,0
748,-1,525,316,-1,0,0
749,-1,526,317,-1,0,0
750,-1,526,318,-1,0,0
751,-1,527,318,-1,0,0
752,-1,527,318,-1,0,0
753,-1,528,318,-1,0,0
754,-1,529,318,-1,0,0
755,-1,529,318,-1,0,0
756,-1,530,318,-1,0,0
757,-1,531,318,-1,0,0
758,-1,532,318,-1,0,0
759,-1,532,318,-1,0,0
760,-1,533,318,-1,0,0
761,-1,533,318,-1,0,0
762,4,-1,-1,-1,0,0
763,-1,534,318,-1,0,0
764,-1,535,318,-1,0,0
765,-1,536,318,-1,0,0
766,-1,537,318,-1,0,0
767,-1,538,319,-1,0,0
768,-1,539,320,-1,0,0
769,-1,540,321,-1,0,0
770,-1,541,322,-1,0,0
771,-1,541,322,-1,0,0
772,-1,541,322,-1,0,0
773,-1,542,323,-1,0,0
774,-1,543,324,-1,0,0
775,-1,543,325,-1,0,0
776,-1,544,326,-1,0,0
777,-1,545,326,-1,0,0
778,-1,545,326,-1,0,0
779,-1,546,326,-1,0,0
780,-1,547,326,-1,0,0
781,5,-1,-1,-1,0,0
782,6,-1,-1,-1,0,0
783,-1,548,327,-1,0,0
784,-1,549,328,-1,0,0
785,-1,550,328,-1,0,0
786,-1,550,328,-1,0,0
787,-1,551,328,-1,0,0
788,-1,552,329,-1,0,0
789,-1,552,330,-1,0,0
790,-1,552,330,-1,0,0
791,-1,553,331,-1,0,0
792,-1,554,332,-1,0,0
793,-1,555,332,-1,0,0
794,-1,556,333,-1,0,0
795,-1,557,334,-1,0,0
796,-1,558,334,-1,0,0
797,-1,558,335,-1,0,0
798,-1,559,336,-1,0,0
799,-1,560,337,-1,0,0
800,-1,561,338,-1,0,0
801,-1,562,338,-1,0,0
802,-1,563,338,-1,0,0
803,-1,564,338,-1,0,0
804,-1,565,338,-1,0,0
805,-1,566,338,-1,0,0
806,-1,566,338,-1,0,0
807,-1,566,338,-1,0,0
808,-1,566,338,-1,0,0
809,-1,567,338,-1,0,0
810,-1,568,339,-1,0,0
811,-1,569,340,-1,0,0
812,-1,569,340,-1,0,0
813,-1,569,341,-1,0,0
814,-1,570,342,-1,0,0
815,-1,571,343,-1,0,0
816,-1,572,344,-1,0,0
817,-1,572,345,-1,0,0
818,-1,572,345,-1,0,0
819,-1,573,346,-1,0,0
820,-1,573,346,-1,0,0
821,-1,574,347,-1,0,0
822,-1,575,348,-1,0,0
823,-1,575,348,-1,0,0
824,-1,576,348,-1,0,0
825,-1,577,349,-1,0,0
826,-1,577,350,-1,0,0
827,-1,577,350,-1,0,0
828,-1,578,351,-1,0,0
829,-1,579,352,-1,0,0
830,-1,580,353,-1,0,0
831,-1,581,353,-1,0,0
832,-1,581,353,-1,0,0
833,-1,581,353,-1,0,0
834,-1,582,354,-1,0,0
835,-1,583,355,-1,0,0
836,-1,583,355,-1,0,0
837,-1,584,355,-1,0,0
838,-1,585,355,-1,0,0
839,-1,585,355,-1,0,0
840,-1,586,355,-1,0,0
841,-1,587,355,-1,0,0
842,-1,588,356,-1,0,0
843,-1,588,357,-1,0,0
844,-1,589,357,-1,0,0
845,-1,590,358,-1,0,0
846,-1,591,359,-1,0,0
847,-1,592,360,-1,0,0
848,-1,593,361,-1,0,0
849,-1,594,362,-1,0,0
850,-1,595,362,-1,0,0
851,-1,596,362,-1,0,0
852,-1,597,362,-1,0,0
853,-1,598,362,-1,0,0
854,-1,599,362,-1,0,0
855,-1,600,362,-1,0,0
856,-1,601,362,-1,0,0
857,-1,602,362,-1,0,0
858,-1,603,363,-1,0,0
859,-1,604,364,-1,0,0
860,-1,604,364,-1,0,0
861,-1,605,365,-1,0,0
