name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12767,-1,1,-1,3935,5623,-1,-1,-1,1,3909
12768,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12769,-1,1,-1,3935,5624,-1,-1,-1,1,3909
12770,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12771,-1,1,-1,-1,-1,823,-1,-1,1,-1
12772,-1,1,-1,3936,5625,-1,-1,-1,1,3910
12773,-1,1,-1,3937,5626,-1,-1,-1,1,3911
12774,-1,1,-1,3938,5627,-1,-1,-1,1,3912
12775,-1,1,-1,-1,5628,-1,-1,-1,1,-1
12776,-1,1,-1,3939,5629,-1,-1,-1,1,3913
12777,-1,1,-1,-1,5630,-1,-1,-1,1,-1
12778,-1,1,-1,3940,5631,-1,-1,-1,1,3914
12779,-1,1,-1,3941,5632,-1,-1,-1,1,3915
12780,-1,1,-1,-1,5633,-1,-1,-1,1,-1
12781,-1,1,-1,3942,5634,-1,-1,-1,1,3916
12782,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12783,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12784,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12785,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12786,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12787,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12788,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12789,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12790,-1,1,68,-1,-1,-1,-1,-1,1,-1
12791,-1,1,-1,-1,5635,-1,-1,-1,1,-1
12792,-1,1,-1,3943,5636,-1,-1,-1,1,3917
12793,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12794,-1,1,-1,-1,5637,-1,-1,-1,1,-1
12795,-1,1,-1,-1,5638,-1,-1,-1,1,-1
12796,-1,1,-1,-1,5639,-1,-1,-1,1,-1
12797,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12798,-1,1,-1,3944,5640,-1,-1,-1,1,3918
12799,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12800,-1,1,-1,3944,5641,-1,-1,-1,1,3918
12801,-1,1,-1,-1,5642,-1,-1,-1,1,-1
12802,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12803,-1,1,-1,-1,5642,-1,-1,-1,1,-1
12804,-1,1,-1,3945,5642,-1,-1,-1,1,3919
12805,-1,1,-1,3946,5643,824,-1,-1,1,3920
12806,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12807,-1,1,-1,-1,5644,-1,-1,-1,1,-1
12808,-1,1,-1,-1,5645,-1,-1,-1,1,-1
12809,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12810,-1,1,-1,3947,5645,-1,-1,-1,1,3921
12811,-1,1,-1,3947,5646,825,-1,-1,1,3921
12812,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12813,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12814,-1,1,-1,3948,5647,-1,-1,-1,1,3922
12815,-1,1,-1,3949,5648,-1,-1,-1,1,3923
12816,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12817,-1,1,-1,3950,5649,-1,-1,-1,1,3924
12818,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12819,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12820,-1,1,-1,3951,5650,-1,-1,-1,1,3925
12821,-1,1,-1,-1,5651,-1,-1,-1,1,-1
12822,-1,1,-1,3952,5652,-1,-1,-1,1,3926
12823,-1,1,-1,3952,-1,-1,-1,-1,1,3926
12824,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12825,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12826,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12827,-1,1,-1,3952,5653,-1,-1,-1,1,3926
12828,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12829,-1,1,-1,3952,5654,-1,-1,-1,1,3926
12830,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12831,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12832,-1,1,-1,-1,5655,-1,-1,-1,1,-1
12833,-1,1,-1,3952,5656,-1,-1,-1,1,3926
12834,-1,1,-1,3952,5657,-1,-1,-1,1,3926
12835,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12836,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12837,-1,1,-1,-1,5658,-1,-1,-1,1,-1
12838,-1,1,-1,-1,5659,-1,-1,-1,1,-1
12839,-1,1,-1,3953,5660,-1,-1,-1,1,3927
