recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,1811,-1,1261,1408,-1,1739,378,0,-1,0,0
0,0,-1,1812,-1,1261,1409,-1,1740,378,0,-1,0,0
0,0,-1,1813,-1,-1,1409,-1,1741,378,0,-1,0,0
0,0,-1,1814,-1,1261,1410,-1,1742,378,0,-1,0,0
0,0,-1,1815,-1,1261,1411,250,1743,378,0,-1,0,0
0,0,-1,1816,-1,1262,1412,-1,1744,379,0,-1,0,0
0,0,-1,1817,-1,1263,1413,-1,1745,380,0,-1,0,0
0,0,-1,1818,-1,1263,1414,251,1746,381,0,-1,0,0
0,0,-1,1819,-1,1263,1415,-1,1747,381,0,-1,0,0
0,0,-1,1820,-1,1264,1416,-1,1748,381,0,-1,0,0
0,0,-1,1821,-1,1265,1417,-1,1749,381,0,-1,0,0
0,0,-1,1822,-1,1266,1418,-1,1750,-1,0,-1,0,0
0,0,-1,1823,-1,1267,1419,-1,1751,381,0,-1,0,0
0,0,-1,1824,-1,1268,1420,-1,1752,381,0,-1,0,0
0,0,-1,1825,-1,1269,1421,-1,1753,-1,0,-1,0,0
0,0,-1,1826,-1,1270,1422,-1,1754,381,0,-1,0,0
0,0,-1,1827,-1,1271,1423,-1,1755,381,0,-1,0,0
0,0,-1,1828,-1,1272,-1,-1,1756,-1,0,-1,0,0
0,0,-1,1829,-1,1272,1424,-1,1757,381,0,-1,0,0
0,0,-1,1830,-1,1273,1425,-1,1758,382,0,-1,0,0
0,0,-1,1831,-1,1274,1426,-1,1759,383,0,-1,0,0
0,0,-1,1832,-1,1275,1427,-1,1760,383,0,-1,0,0
0,0,-1,1833,-1,1276,1427,-1,1761,384,0,-1,0,0
0,0,-1,1834,-1,1277,-1,252,1762,385,0,-1,0,0
0,0,-1,1835,-1,1278,1428,-1,1763,385,0,-1,0,0
0,0,-1,1836,-1,1279,1429,-1,1764,386,0,-1,0,0
0,0,-1,1837,-1,1280,1430,-1,1765,387,0,-1,0,0
0,0,-1,1838,-1,1281,1431,253,1766,387,0,-1,0,0
0,0,-1,1839,-1,1282,-1,-1,1767,387,0,-1,0,0
0,0,-1,1840,-1,1282,1432,-1,1768,-1,0,-1,0,0
0,0,-1,1841,-1,1283,-1,254,1769,387,0,-1,0,0
0,0,-1,1842,-1,1284,1433,-1,1770,387,0,-1,0,0
0,0,-1,1843,-1,1284,1434,-1,1771,-1,0,-1,0,0
0,0,-1,1844,-1,1284,1435,-1,1772,387,0,-1,0,0
0,0,-1,1845,-1,1285,1436,-1,1773,387,0,-1,0,0
0,0,-1,1846,-1,-1,1437,255,1774,387,0,-1,0,0
0,0,-1,1847,-1,1285,1438,-1,1775,387,0,-1,0,0
0,0,-1,1848,-1,1286,1439,-1,1776,387,0,-1,0,0
0,0,-1,1849,-1,1287,1440,-1,1777,388,0,-1,0,0
0,0,-1,1850,-1,1287,1441,-1,1778,389,0,-1,0,0
0,0,-1,1851,-1,1288,1442,-1,1779,389,0,-1,0,0
0,0,-1,1852,-1,1288,1443,-1,1780,389,0,-1,0,0
0,0,-1,1853,-1,1289,-1,256,1781,-1,0,-1,0,0
0,0,-1,1854,-1,1290,1443,257,1782,389,0,-1,0,0
0,0,-1,1855,-1,1291,1444,-1,1783,389,0,-1,0,0
0,0,-1,1856,-1,1292,1445,-1,1784,389,0,-1,0,0
0,0,-1,1857,-1,1292,-1,258,1785,389,0,-1,0,0
0,0,-1,1858,-1,1293,1446,-1,1786,389,0,-1,0,0
